date,n_gauges,cc_era5,cc_imerg,cc_mlr,a,b,c,cc_gain_vs_era5,cc_gain_vs_best
2005-08-30,187,-0.03,-0.01,0.03,-0.87,-2.53,0.19,0.06,0.04
2005-08-31,187,0.03,-0.02,0.04,0.08,-0.07,0.05,0.01,0.01
2005-09-01,200,0.04,0.12,0.12,0.11,0.19,0.55,0.08,0.0
2005-09-02,208,0.29,0.38,0.4,0.27,0.27,0.48,0.11,0.03
2005-09-03,210,0.15,0.38,0.38,0.12,0.6,1.28,0.24,0.01
2005-09-04,211,0.25,0.26,0.33,0.25,0.42,0.63,0.08,0.07
2005-09-05,208,0.31,0.46,0.48,0.26,0.93,0.46,0.17,0.02
2005-09-06,203,0.26,0.26,0.31,0.17,0.22,0.45,0.04,0.04
2005-09-07,203,0.11,0.21,0.21,0.01,0.34,0.97,0.1,0.0
2005-09-08,208,0.23,0.74,0.74,-0.09,0.75,0.19,0.51,0.0
2005-09-09,211,0.35,0.38,0.4,0.27,0.47,1.21,0.05,0.03
2005-09-10,200,0.11,0.17,0.19,0.11,0.2,1.51,0.08,0.02
2005-09-11,190,0.08,-0.02,0.08,1.26,-0.16,0.25,0.0,0.0
2005-09-12,194,0.0,-0.02,0.02,0.01,-0.46,0.14,0.02,0.02
2005-09-13,188,-0.01,0.0,0.01,-0.15,0.0,0.1,0.01,0.01
2005-09-14,193,0.19,-0.02,0.21,0.77,-0.26,0.06,0.02,0.02
2005-09-15,192,0.05,-0.03,0.06,0.4,-0.47,0.41,0.01,0.01
2005-09-16,188,-0.01,-0.02,0.02,-33.7,-12.05,0.17,0.04,0.04
2005-09-17,187,-0.01,-0.01,0.01,-0.52,-0.0,0.04,0.03,0.02
2005-09-18,185,-0.03,-0.02,0.03,-0.31,0.0,0.1,0.07,0.05
2005-09-19,193,0.26,0.26,0.34,0.4,0.12,0.13,0.08,0.07
2005-09-20,205,0.12,0.12,0.17,0.37,0.16,0.24,0.05,0.05
2005-09-21,207,0.41,0.27,0.43,0.6,0.08,0.09,0.02,0.02
2005-09-22,207,0.3,0.25,0.32,0.67,-0.2,0.6,0.01,0.01
2005-09-23,202,0.38,0.3,0.43,0.68,0.43,0.01,0.04,0.04
2005-09-24,187,-0.03,-0.04,0.05,-0.01,-0.0,0.01,0.08,0.08
2005-09-25,189,-0.03,-0.01,0.03,-6.69,-0.04,0.09,0.07,0.04
2005-09-26,190,-0.06,-0.02,0.06,-1.32,-0.16,0.4,0.13,0.08
2005-09-27,213,0.31,0.55,0.55,0.08,0.8,0.03,0.24,0.0
2005-09-28,216,0.59,0.71,0.74,0.34,0.83,0.15,0.15,0.03
2005-09-29,198,0.48,0.69,0.69,0.15,1.04,0.57,0.21,0.01
2005-09-30,193,0.25,0.2,0.28,0.98,0.72,0.72,0.03,0.03
2005-10-01,173,0.03,0.09,0.09,-0.03,0.05,0.09,0.06,0.0
2005-10-02,174,0.06,0.09,0.09,0.01,0.04,0.11,0.03,0.0
2005-10-03,178,0.28,0.26,0.32,0.55,0.21,0.22,0.04,0.04
2005-10-04,186,0.54,0.5,0.58,0.35,0.41,-0.17,0.04,0.04
2005-10-05,186,0.34,0.08,0.35,2.06,0.74,0.14,0.0,0.0
2005-10-06,183,0.33,0.46,0.48,0.11,0.51,0.36,0.15,0.02
2005-10-07,178,0.08,0.24,0.26,0.65,0.47,0.37,0.18,0.02
2005-10-08,181,0.32,0.16,0.32,1.12,0.09,0.84,0.01,0.01
2005-10-09,201,0.82,0.69,0.82,0.78,0.12,0.26,0.0,0.0
2005-10-10,192,0.54,0.43,0.55,0.52,0.15,0.23,0.0,0.0
2005-10-11,186,0.41,0.01,0.46,0.53,-0.18,0.12,0.04,0.04
2005-10-12,180,-0.06,0.42,0.42,-0.49,1.65,0.24,0.48,0.0
2005-10-13,177,0.17,0.13,0.19,0.28,0.07,0.11,0.02,0.02
2005-10-14,176,0.44,0.33,0.48,3.35,0.44,0.18,0.04,0.04
2005-10-15,181,0.5,0.5,0.56,0.32,0.39,0.53,0.06,0.05
2005-10-16,196,0.33,0.64,0.64,-0.09,0.52,0.36,0.31,0.0
2005-10-17,194,0.3,0.22,0.31,1.01,0.12,1.24,0.01,0.01
2005-10-18,228,0.53,0.71,0.73,0.15,0.72,2.07,0.2,0.01
2005-10-19,219,0.46,0.46,0.5,0.37,0.44,2.36,0.04,0.03
2005-10-20,183,0.02,0.09,0.09,-14.49,0.3,0.39,0.07,0.0
2005-10-21,181,-0.01,-0.04,0.04,-3.59,-0.05,0.23,0.05,0.05
2005-10-22,171,-0.02,0.01,0.03,-0.04,0.02,0.05,0.05,0.01
2005-10-23,174,0.22,0.34,0.34,-0.04,0.16,0.04,0.12,0.0
2005-10-24,180,0.49,0.08,0.49,1.64,-0.08,-0.0,0.0,0.0
2005-10-25,184,0.22,0.33,0.33,0.08,0.45,0.11,0.11,0.0
2005-10-26,190,0.42,0.3,0.42,0.55,0.0,0.12,0.0,0.0
2005-10-27,179,0.13,0.06,0.14,1.4,0.39,0.81,0.01,0.01
2005-10-28,190,0.6,0.53,0.62,0.95,0.46,-0.11,0.02,0.02
2005-10-29,186,0.56,0.35,0.57,0.77,0.12,0.07,0.0,0.0
2005-10-30,174,0.6,0.31,0.6,0.81,-0.15,0.01,0.0,0.0
2005-10-31,178,0.38,0.29,0.39,0.88,0.6,0.17,0.01,0.01
2005-11-01,175,-0.02,0.53,0.53,-160.09,37.15,0.04,0.55,0.0
2005-11-02,173,-0.02,0.07,0.07,-1.94,0.28,0.14,0.09,0.0
2005-11-03,174,0.44,0.42,0.47,0.45,0.15,-0.03,0.03,0.03
2005-11-04,173,0.05,-0.02,0.06,5.9,-0.02,0.0,0.01,0.01
2005-11-05,173,-0.02,-0.01,0.02,-0.12,-0.0,0.02,0.04,0.03
2005-11-06,171,0.0,0.02,0.02,0.0,0.03,0.05,0.02,-0.0
2005-11-07,175,-0.03,-0.04,0.05,-0.01,-0.01,0.01,0.08,0.08
2005-11-08,175,-0.03,-0.06,0.06,-28.61,-0.03,0.06,0.09,0.09
2005-11-09,174,0.0,0.1,0.1,0.0,0.1,0.05,0.1,-0.0
2005-11-10,175,-0.02,0.21,0.22,-345.85,0.79,0.64,0.24,0.0
2005-11-11,200,0.42,0.44,0.49,0.36,0.68,0.46,0.07,0.05
2005-11-12,185,0.31,0.12,0.31,0.61,-0.17,0.7,0.0,0.0
2005-11-13,172,0.38,0.31,0.39,183.71,0.42,0.16,0.02,0.02
2005-11-14,176,0.62,0.63,0.68,1.8,1.03,-0.08,0.07,0.06
2005-11-15,178,0.63,0.48,0.65,0.47,0.86,0.1,0.02,0.02
2005-11-16,174,0.01,0.08,0.08,1649.36,2.8,0.12,0.07,0.0
2005-11-17,173,-0.02,-0.01,0.02,-1.18,-0.01,0.02,0.04,0.04
2005-11-18,170,0.16,-0.02,0.17,4.1,-0.21,0.01,0.01,0.01
2005-11-19,167,-0.03,-0.01,0.03,-1.32,-0.02,0.03,0.06,0.04
2005-11-20,169,0.0,-0.02,0.02,0.0,-0.4,0.14,0.02,0.02
2005-11-21,173,-0.01,0.06,0.06,-6.13,0.28,0.04,0.07,0.0
2005-11-22,171,-0.01,0.02,0.03,-0.13,0.01,0.0,0.03,0.0
2005-11-23,171,-0.02,0.03,0.04,-11.96,0.08,0.07,0.07,0.01
2005-11-24,161,0.0,-0.04,0.04,0.0,-0.0,0.01,0.04,0.04
2005-11-25,167,-0.04,-0.03,0.05,-0.3,-0.1,0.14,0.08,0.08
2005-11-26,170,0.1,-0.08,0.14,0.21,-0.42,0.24,0.05,0.05
2005-11-27,183,0.38,0.19,0.38,0.23,0.23,0.06,0.0,0.0
2005-11-28,173,0.12,-0.0,0.12,0.83,0.04,0.36,0.0,0.0
2005-11-29,175,0.05,0.12,0.13,-0.42,0.47,0.49,0.08,0.01
2005-11-30,175,0.51,0.34,0.52,0.51,-0.3,0.02,0.01,0.01
2005-12-01,189,0.33,0.22,0.33,3.36,0.06,0.28,0.0,0.0
2005-12-02,198,0.66,0.33,0.69,3.99,1.5,0.4,0.03,0.03
2005-12-03,208,0.6,0.68,0.7,0.2,1.57,-0.12,0.1,0.02
2005-12-04,186,0.53,-0.03,0.53,4.28,-0.04,0.04,0.0,0.0
2005-12-05,189,0.47,-0.03,0.47,4.6,-0.2,0.18,0.0,0.0
2005-12-06,190,0.56,0.23,0.56,8.77,0.95,0.08,0.01,0.01
2005-12-07,191,0.57,0.43,0.58,0.67,0.5,-0.04,0.0,0.0
2005-12-08,190,-0.05,-0.0,0.05,-6.27,-0.0,0.56,0.11,0.06
2005-12-09,192,-0.02,0.06,0.07,-3.28,0.15,0.09,0.09,0.0
2005-12-10,187,0.02,-0.04,0.04,4625.08,-0.3,-1.78,0.03,0.03
2005-12-11,186,-0.01,-0.02,0.02,-16.61,-0.02,0.09,0.04,0.04
2005-12-12,193,-0.01,0.09,0.1,-1.09,0.3,0.22,0.12,0.01
2005-12-13,204,0.38,0.32,0.42,0.27,0.37,0.17,0.04,0.04
2005-12-14,190,0.19,0.25,0.32,0.19,0.13,0.0,0.13,0.07
2005-12-15,190,-0.01,0.04,0.04,-0.46,0.08,0.01,0.05,0.0
2005-12-16,190,0.17,0.01,0.17,0.23,0.01,0.01,0.0,0.0
2005-12-17,186,0.6,0.41,0.63,14.75,1.71,0.13,0.03,0.03
2005-12-18,190,0.56,0.45,0.62,11.44,1.09,0.07,0.07,0.07
2005-12-19,199,0.62,0.22,0.62,1.31,-0.18,0.04,0.01,0.01
2005-12-20,192,0.28,0.02,0.28,0.54,-0.05,0.06,0.01,0.01
2005-12-21,190,0.14,0.19,0.23,37.54,0.1,-0.02,0.09,0.04
2005-12-22,191,0.64,0.2,0.64,65.71,-0.02,-0.13,0.0,0.0
2005-12-23,188,0.29,0.03,0.3,1.25,-0.04,-0.01,0.01,0.01
